buken_id,物件名,仮称,住所,分類,住戸数,事業主,管理会社,竣工年,竣工月,共用部1,共用部2,専有部1,専有部2,専有部3,専有部opt1,専有部opt2,専有部opt3,ハンドル,ハンドルカラー,シリンダー区分,錠ケース,装置加算額有無,シリンダーカラー,扉厚,ピッチ,備芯,官民仕様,ロック数,キーチェンジ,塩害地加算
4072,アンピール新町,,熊本県熊本市中央区新町二丁目11番33,分譲,52,新栄住宅 株式会社,新栄総合管理 株式会社,2018年,10月,Tebra pass A,,Tebra cell A,,,1,,,PJ400,塗装シルバー SL,F22,PJ,有り,SL,40,未選択,K22N18,官民無し,2,,
4073,ウインザーハイム北柏ガーデン　※Ｆ２２電池錠あり,ウインザーハイム北柏ガーデン玄関扉取替工事,千葉県柏市根戸４７０－２５,改修,166,,,2018年,9月,なし,,Tebra cell A,,,1,,,PJ400,塗装シルバー SL,F22,PJ,有り,SL,36,未選択,,官民無し,2,,
4074,ウエリス相川駅前,東淀川区相川１丁目,大阪府大阪市東淀川区相川１丁目１番１９,,183,エヌ・ティ・ティ都市開発株式会社・東急不動産株式会社・株式会社長谷工コーポレーション,エヌ・ティ・ティ都市開発ビルサービス株式会社,2018年,10月,Tebra pass A,,Tebra cell A,,,1,,,PP350,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,官民無し,2,,
4075,グラン・レジェイド御茶ノ水,文京区湯島計画, 東京都文京区湯島2-1-14,分譲,53,株式会社日本エスコン,,2018年,8月,F-ics,,なし,,,,,,,,F22,CD,有り,BK,40,未選択,,官民無し,2,,
4076,グランフォーレ大濠西,グランフォーレ鳥飼３丁目,福岡県福岡市中央区鳥飼三丁目９番１,分譲,20,株式会社 コーセーアールイー,株式会社 アールメンテナンス,2018年,9月,Tebra pass A,,Tebra cell A,,,1,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,,官民無し,2,,
4077,クリオ円山鳥居前,クリオ円山鳥居前,北海道札幌市中央区北１条西２６丁目３−２３,賃貸,29,明和地所株式会社,,2018年,9月,Tebra pass A,,なし,,,,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,官民無し,2,,
4078,クレイシア目黒都立大学,クレイシア都立大学,東京都目黒区平町２丁目１９−１６,分譲,34,プロパティエージェント株式会社,,2018年,12月,Tebra pass F,,なし,,,,,,PP300,塗装シルバー SL,T20,CD,有り,SH,40,未選択,,官民無し,2,,
4079,コスモ住道駅前,,大阪府大東市住道２丁目６,リプレイス,42,管理組合,,2018年,9月,Tebra pass A,,なし,,,,,,,,T20,CD,有り,SH,40,未選択,,官民無し,2,,
4080,ザ・マジェスティコート目黒,目黒区下目黒２丁目計画,東京都目黒区下目黒2丁目23番21号 ,分譲,150,東京建物株式会社,株式会社東京建物アメニティサポート,2018年,9月,Tebra pass A,,Tebra cell A,,,1,,,PP350,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,上部官民,2,,
4081,サンパーク企救丘グラッセ,サンパーク志井,福岡県北九州市小倉南区志井6丁目16番6号,分譲,42,大英産業株式会社,株式会社リビングサポート,2019年,3月,Tebra pass A,,Tebra cell A,,,,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,36,未選択,,官民無し,2,,
4082,サンライフ南蒲田,サンライフ南蒲田,東京都大田区萩中２丁目３−２,改修,69,株式会社アイ・エス,,2018年,9月,なし,,なし,,,,,,PJ400,塗装シルバー SL,T20,PJ,有り,SL,36,未選択,,官民無し,2,,
4083,デルックス田端,田端ＰＪ, 東京都北区田端新町2-18-11  ,分譲,59,株式会社ディアライフ,,2018年,9月,Tebra pass F,,なし,,,,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,官民無し,2,,
4084,パークアソシア室見河畔,福重4丁目計画,福岡県福岡市西区福重４丁目２５８－７,分譲,58,株式会社LANDIC,株式会社合人社計画研究所,2018年,9月,Tebra pass A,,なし,,,,,,,,F22,CD,有り,BK,40,未選択,,上部官民,2,,
4085,ファインレジデンス住吉山手,東灘区住吉山手,兵庫県神戸市東灘区住吉山手１丁目１５１３,分譲,22,京阪電鉄不動産株式会社,京阪カインド株式会社,2018年,9月,Tebra pass A,,なし,,,,,,PP300,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,官民無し,2,,
4086,プレシス浦和,プレシス浦和,埼玉県さいたま市南区大谷場1丁目10-1,分譲,42,一建設株式会社,伏見管理サービス株式会社,2018年,9月,Tebra pass A,,なし,,,,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,官民無し,2,,
4087,モアグレース一宮駅前Ⅲ,モアグレース一宮栄一丁目,愛知県一宮市栄１丁目１０番６,分譲,28,株式会社エムジーホーム,エムジー総合サービス,2018年,9月,Tebra pass A,,Tebra cell A,Tebra cell H,,1,1,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,上部官民,2,,
4088,モアグレース岐阜南ゲートマークス,モアグレース岐阜清,岐阜県岐阜市大字清字上沼７５９－１,分譲,38,株式会社エムジーホーム,エムジー総合サービス株式会社,2018年,9月,Tebra pass A,,Tebra cell A,Tebra cell H,,1,1,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,上部官民,2,,
4089,リヴィエールリシェル西小倉,,福岡県北九州市小倉北区愛宕２丁目２３０７‐５,,27,（株）九州三共,,2018年,9月,Tebra pass A,,Tebra plug,,,,,,PJ400,塗装シルバー SL,F22,PJ,有り,SL,36,未選択,,官民無し,2,,
4090,リビオレゾン墨田押上,墨田区本所４丁目マンション,東京都墨田区本所4-29-13,分譲,42,新日鉄興和不動産株式会社　,日鉄コミュニティ,2018年,9月,Tebra pass A,,なし,,,,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,,官民無し,2,,
4091,ルピアコート宮前平,川崎市宮前区宮前平二丁目,神奈川県川崎市宮前区宮前平２丁目５−２３,分譲,33,株式会社中央住宅,長谷工コミュニティ,2018年,10月,Tebra pass A,,なし,,,,,,,,F22,CD,有り,SH,40,未選択,,官民無し,2,,
