clavis_id,buken_name_clavis,kari_name,address,buken_path,csv_buken_name,id_in_csv,name_match
4205,デュオヒルズ西大宮ザ・グランテラス,西大宮計画,埼玉県さいたま市西区西大宮３丁目３８−１,/support/after/admin/?m=Edit&id=4205,デュオヒルズ西大宮ザ・グランテラス,True,True
4235,アールブラン武蔵境,武蔵野市境南町2丁目計画,東京都武蔵野市境南町2-27-3,/support/after/admin/?m=Edit&id=4235,アールブラン武蔵境,True,True
4253,ピアース西荻窪,杉並区西荻南３丁目計画,東京都杉並区西荻南3-7-13,/support/after/admin/?m=Edit&id=4253,ピアース西荻窪,True,True
4268,レジデンシャル東中野,東中野プロジェクト,東京都中野区東中野1-54,/support/after/admin/?m=Edit&id=4268,レジデンシャル東中野,True,True
4373,レガリス高円寺Ⅱ,高円寺２ＰＪ新築工事,東京都中野区野方1-40,/support/after/admin/?m=Edit&id=4373,レガリス高円寺Ⅱ,True,True
4412,ベルジュール武蔵野桜堤,武蔵野市桜堤２丁目共同住宅,東京都武蔵野市桜堤2丁目12-15,/support/after/admin/?m=Edit&id=4412,ベルジュール武蔵野桜堤,True,True
4426,ハーモニーレジデンス中野富士見町,杉並区和田２丁目マンション,東京都杉並区和田2丁目16番20号,/support/after/admin/?m=Edit&id=4426,ハーモニーレジデンス中野富士見町,True,True
4454,クレヴィスタ練馬武蔵関,,東京都練馬区関町東2-6,/support/after/admin/?m=Edit&id=4454,クレヴィスタ練馬武蔵関,True,True
4464,ブレッサ西日暮里,メゾンナタール大規模修繕工事,東京都北区田端1-11-7,/support/after/admin/?m=Edit&id=4464,ブレッサ西日暮里,True,True
4465,ベルジュール三鷹ステーションハウス,上連雀１丁目プロジェクト,東京都三鷹市上連雀1丁目2番,/support/after/admin/?m=Edit&id=4465,ベルジュール三鷹ステーションハウス,True,True
4470,デュフレ阿佐ヶ谷,デュフレ阿佐ヶ谷共同住宅新築工事,東京都杉並区阿佐谷南一丁目5番1号（住居表示）,/support/after/admin/?m=Edit&id=4470,デュフレ阿佐ヶ谷,True,True
4482,ＫＤＸレジデンス池袋ウエスト,池袋ウエストⅡ,東京都板橋区中丸町2番6,/support/after/admin/?m=Edit&id=4482,ＫＤＸレジデンス池袋ウエスト,True,True
4497,広尾ヴィラスクエア,渋谷区東４丁目計画,東京都渋谷区東4丁目7-4,/support/after/admin/?m=Edit&id=4497,広尾ヴィラスクエア,True,True
